Drill ID,Development Block,Coaching Focus,Drill Name,Purpose,Duration Minutes,Recommended Players,Use Execution Details,Sets,Reps,Work Seconds,Rest Seconds,Equipment,Coaching Points,Progressions,Variations,Notes
49,Ball Mastery,,Bell Taps (Sole Taps),"1. Stand directly over the ball.
2. Alternately tap the top of the ball with the sole of your right foot, then your left foot.
3. Keep knees soft and stay on your toes; do not let the ball roll away.
4. Progression: Move forward, backward, or rotate 360 degrees around the ball while tapping.

https://www.youtube.com/watch?v=iaTdBm0YLjs&t=21s",10,All,Yes,2,,120,30,Ball,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",,,
47,Ball Mastery,,Bells,"Place the ball between the feet and pass the ball back and forth to the opposite foot

https://www.youtube.com/watch?v=VQkURHwZiTE",0,,Yes,2,,60,30,,,,Bells (aka Foundations or Side to Sides) | Bells / Stop | Bells / Stop / Rip Back (sole roll) | Bells / Stop / Scissor | Bells / Outside | Bells / Outside / Rip Back (sole roll),
17,Ball Mastery,Builds rapid side-to-side control using the instep,Box Touches,"1. Position the ball between your feet with a slight bend in your knees.
2. Knock the ball rapidly back and forth between the inside of your right foot and the inside of your left foot.
3. Keep the ball directly under your center of gravity.",0,All,Yes,2,,120,30,Ball for each player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",Move forward and backward while maintaining the rhythm.,,https://www.youtube.com/watch?v=haam2cUxgu0
22,Ball Mastery,Creates instant separation when a defender blocks,Cruyff Turn (Inside Hook Behind Standing Leg),"1. Approach the ball as if preparing to strike a long pass or shot with your right foot.
2. Plant your left foot firmly beside the ball.
3. Instead of striking, use the inside of your right foot to chop the ball back behind your standing leg.
4. Turn your hips quickly and explode into the open space.

https://www.facebook.com/watch/?v=979859714065594",0,"2 - 1 attacker, 1 defender",No,,,,,1 ball per pair of players,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure. | Alternate between attacking and defending",,,
19,Ball Mastery,Simulates pulling the ball away from a defender an,Drag Push (Pull-Push / Laces),"1. Place the sole of your right foot on top of the ball and drag it backward toward your body.
2. As the ball moves back, hop on your supporting leg and push the ball forward with the laces/instep of the same foot.
3. Perform a set number on one leg before switching, or alternate legs after every push.

https://www.youtube.com/watch?v=7OdCiIzDJ-8&t=6s",0,All,No,,,,,Ball for each player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",,,
20,Ball Mastery,Teaches evasive dribbling in tight spaces using qu,Inside-Outside (Single Foot & Alternating),"1. Push the ball slightly forward-diagonal with the outside of your right foot.
2. Immediately catch and push the ball forward-diagonal with the inside of the same foot (forming a zig-zag pattern).
3. Perform 10?15 yards on the right foot, then switch to the left foot. Alternate feet (Outside Right $\rightarrow$ Inside Right $\rightarrow$ Outside Left $\rightarrow$ Inside Left).",0,All,No,,,,,Ball and two cones for each player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",Alternate feet (Outside Right -> Inside Right ->Outside Left ->Inside Left).,,
23,Ball Mastery,Executes a sharp 180-degree turn while keeping you,Outside Hook Turn,"1. Dribble forward at speed.
2. Plant your supporting foot slightly ahead and to the side of the ball.
3. Reach around the ball with the outside of your lead foot and cut it hard in the opposite direction.
4. Lower your center of gravity to accelerate out of the turn immediately.

https://www.youtube.com/watch?v=_Ywich-FF0w&t=12s",0,"2 - 1 attacker, 1 defender",No,,,,,,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",,,
45,Ball Mastery,,Push Stop,Pushing the ball forward with the laces and pulling it back with the sole using the same foot.,0,,Yes,3,,60,30,1 ball per player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",1.  Stationary | 2  Moving within a grid,,
44,Ball Mastery,,Push-Pull,"Pulling the ball backward with the sole, then pushing it forward with the laces (instep) of the same foot.

https://www.youtube.com/watch?v=efdjWYTEic0&t=23s",0,1,Yes,3,,60,30,1 ball for each player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",1.  Stationary using one foot | 2.  Stationary using both feet | 3.. Movement forward and backward using both feet,,
18,Ball Mastery,Teaches control when moving laterally across an op,Sole Roll-Overs,"1. Start with your dominant foot on top of the ball.
2. Roll the ball across your body to the non-dominant side using the sole of your dominant foot.
3. Catch the ball with the inside of your non-dominant foot, then roll it back across to the dominant with the sole of your left foot.
4. Repeat in a smooth, continuous fluid motion.",0,,No,,,,,Ball for each player,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",Using two cones of different colors about 5 yards apart.  Move the ball between the cones,,
3,Ball Mastery,"Develops light balance, quick rhythm, vertical agi",Toe Touches,"1. Stand directly over the ball.
2. Alternately tap the top of the ball with the sole of your right foot, then your left foot.
3. Keep knees soft and stay on your toes; do not let the ball roll away.
4. Progression: Move forward, backward, or rotate 360 degrees around the ball while tapping.

https://www.youtube.com/watch?v=iaTdBm0YLjs&t=21s",10,All,Yes,2,,120,30,Ball,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure.",,Brazilian style | Side to Side Toe Touches | Bells/Stop/Toe Touches | Toe Touches/Double Scissors | Toe Touches/180 Pullbacks | Toe Touches/Forward/Backward,
21,Ball Mastery,Deceives defenders by faking a backward pass or mo,V-Cut (Pull & Push Wide),"1. Reach out with your right sole and drag the ball backward toward your off-hip.
2. Open your hips and push the ball outward at a 45-degree angle using the inside or outside of the same foot.
3. Repeat on the left leg, creating a distinct ""V"" pattern on the ground.

https://www.youtube.com/watch?v=EUCOoShWJVw",0,"2 - One attacks, other defends",No,,,,,1 ball and 1 cone  for each player and,"Head Up: Begin each drill looking at the ball to establish rhythm, then gradually lift your head to scan the field between touches. | Soft Knees & Light Feet: Avoid flat-footed contact; stay on the balls of your feet to switch directions without losing balance. | Work Both Feet Equally: Dedicate equal repetitions to your non-dominant foot to prevent predictable play under pressure. | Alternate attacking and defending",,,
24,Receiving & Passing,"Teaches body shape, directional receiving across t","""Y"" Passing & Receiving Progression","Player A plays a firm ground pass to Player B, who checks 1?2 yards off the 
center cone.

Player B receives across their body using the inside of the back foot to open up toward Player C (Right Branch).

Player B passes to Player C.

Player C receives on the move, dribbles at high speed back to the line at Cone A.

Rotation: Player A moves to B, Player B moves to C, and Player C moves to the 
back of line A.

Variation: Work both sides (receive left to pass to D). Introduce a ""give-and-go"" (one-two) between B and C before C dribbles back.

https://www.youtube.com/watch?v=uNZoWyc5CTs",0,4-8,Yes,,,900,180,"4 tall or disc cones, 1 or 2 soccer balls.",,,,"Setup: Arrange cones in a capital ""Y"" shape.
Cone A (Base) to Cone B (Center Node): 10-2 yards}
Cone B to Cone C (Left Branch) and Cone D (Right Branch):8-10 yards angled out at 45 degrees."
